,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,1220.0,5.0,4138.0,38.0,0.15,44.0,0.336,1,48.0,3,4504.0,30.0,0.16,18.0,0.5429999999999999,1,70.0,4,4198.0,36.0,0.19,36.0,0.159,1,80.0,2,3443.0,49.0,0.19,45.0,0.258,1,31.0,2,3277.0,52.0,0.17,32.0,0.299,1,71.0,2,2942.0,58.0,0.12,68.0,0.366,1,58.0,2,2.0
,9210.0,6.0,4489.0,32.0,0.18,41.0,0.171,1,57.0,2,3814.0,42.0,0.19,29.0,0.36,1,41.0,3,3834.0,44.0,0.19,53.0,0.359,1,78.0,3,4904.0,24.0,0.17,23.0,0.18,1,50.0,2,3212.0,56.0,0.16,54.0,0.409,1,44.0,3,4413.0,32.0,0.17,20.0,0.473,1,52.0,4,20.0
,1220.0,7.0,4630.0,31.0,0.16,59.0,0.308,1,53.0,2,4424.0,33.0,0.16,65.0,0.6,1,11.0,4,4920.0,27.0,0.19,25.0,0.063,1,72.0,2,3075.0,56.0,0.16,14.0,0.414,1,59.0,3,2930.0,62.0,0.17,42.0,0.402,1,32.0,3,2844.0,61.0,0.19,66.0,0.247,1,45.0,2,2.0
,43110.0,8.0,4069.0,38.0,0.17,15.0,0.455,1,18.0,4,4468.0,32.0,0.13,60.0,0.446,1,64.0,4,4360.0,34.0,0.18,70.0,0.281,1,35.0,2,4911.0,22.0,0.2,19.0,0.066,1,36.0,2,3713.0,44.0,0.13,51.0,0.43799999999999994,1,62.0,3,4640.0,27.0,0.17,37.0,0.265,1,65.0,2,48.0
,29470.0,9.0,3948.0,42.0,0.18,43.0,0.292,1,73.0,2,3443.0,49.0,0.19,45.0,0.258,1,31.0,2,4596.0,35.0,0.17,69.0,0.39399999999999996,1,39.0,3,3616.0,45.0,0.16,26.0,0.366,1,16.0,3,3800.0,44.0,0.16,27.0,0.469,1,38.0,4,4652.0,33.0,0.2,35.0,0.10300000000000001,1,20.0,2,72.0
,12230.0,10.0,3834.0,44.0,0.19,53.0,0.359,1,78.0,3,4619.0,35.0,0.17,48.0,0.18100000000000002,1,21.0,2,3742.0,44.0,0.17,16.0,0.33299999999999996,1,23.0,3,4056.0,40.0,0.15,50.0,0.336,1,69.0,2,3557.0,45.0,0.16,13.0,0.5870000000000001,1,43.0,4,4198.0,36.0,0.19,36.0,0.159,1,80.0,2,71.0
,17910.0,11.0,3391.0,53.0,0.18,17.0,0.315,1,60.0,1,3559.0,50.0,0.18,52.0,0.29,1,19.0,2,4413.0,32.0,0.17,20.0,0.473,1,52.0,4,3336.0,54.0,0.17,21.0,0.23199999999999998,1,40.0,2,2942.0,58.0,0.12,68.0,0.366,1,58.0,2,5008.0,21.0,0.2,24.0,0.0,1,30.0,1,94.0
,2140.0,12.0,4504.0,30.0,0.16,18.0,0.5429999999999999,1,70.0,4,3212.0,56.0,0.16,54.0,0.409,1,44.0,3,3713.0,44.0,0.13,51.0,0.43799999999999994,1,62.0,3,3502.0,49.0,0.17,11.0,0.562,1,34.0,4,3833.0,44.0,0.12,46.0,0.53,1,55.0,4,4424.0,33.0,0.16,65.0,0.6,1,11.0,4,8.0
,1870.0,1.0,4424.0,33.0,0.16,65.0,0.6,1,11.0,4,4138.0,38.0,0.15,44.0,0.336,1,48.0,3,4432.0,32.0,0.2,56.0,0.256,1,49.0,2,3814.0,42.0,0.19,29.0,0.36,1,41.0,3,4596.0,35.0,0.17,69.0,0.39399999999999996,1,39.0,3,4630.0,31.0,0.16,59.0,0.308,1,53.0,2,5.0
,1310.0,2.0,2942.0,58.0,0.12,68.0,0.366,1,58.0,2,3713.0,44.0,0.13,51.0,0.43799999999999994,1,62.0,3,3559.0,50.0,0.18,52.0,0.29,1,19.0,2,2930.0,62.0,0.17,42.0,0.402,1,32.0,3,3443.0,49.0,0.19,45.0,0.258,1,31.0,2,3742.0,44.0,0.17,16.0,0.33299999999999996,1,23.0,3,5.0
,1820.0,3.0,3800.0,44.0,0.16,27.0,0.469,1,38.0,4,4198.0,36.0,0.19,36.0,0.159,1,80.0,2,4056.0,40.0,0.15,50.0,0.336,1,69.0,2,4468.0,32.0,0.13,60.0,0.446,1,64.0,4,4489.0,32.0,0.18,41.0,0.171,1,57.0,2,3616.0,45.0,0.16,26.0,0.366,1,16.0,3,9.0
,460.0,4.0,4504.0,30.0,0.16,18.0,0.5429999999999999,1,70.0,4,3075.0,56.0,0.16,14.0,0.414,1,59.0,3,3601.0,48.0,0.21,58.0,0.16399999999999998,1,15.0,2,2844.0,61.0,0.19,66.0,0.247,1,45.0,2,3336.0,54.0,0.17,21.0,0.23199999999999998,1,40.0,2,4911.0,22.0,0.2,19.0,0.066,1,36.0,2,3.0
,15050.0,5.0,3277.0,52.0,0.17,32.0,0.299,1,71.0,2,4640.0,27.0,0.17,37.0,0.265,1,65.0,2,3557.0,45.0,0.16,13.0,0.5870000000000001,1,43.0,4,3391.0,53.0,0.18,17.0,0.315,1,60.0,1,4069.0,38.0,0.17,15.0,0.455,1,18.0,4,4138.0,38.0,0.15,44.0,0.336,1,48.0,3,27.0
,560.0,6.0,4432.0,32.0,0.2,56.0,0.256,1,49.0,2,3833.0,44.0,0.12,46.0,0.53,1,28.0,4,4904.0,24.0,0.17,23.0,0.18,1,50.0,2,4067.0,38.0,0.16,63.0,0.513,1,63.0,4,4996.0,25.0,0.14,39.0,0.013000000000000001,1,25.0,1,3834.0,44.0,0.19,53.0,0.359,1,78.0,3,2.0
,3090.0,7.0,3814.0,42.0,0.19,29.0,0.36,1,41.0,3,3948.0,42.0,0.18,43.0,0.292,1,73.0,2,4619.0,35.0,0.17,48.0,0.18100000000000002,1,21.0,2,3502.0,49.0,0.17,11.0,0.562,1,34.0,4,3616.0,45.0,0.16,26.0,0.366,1,16.0,3,5008.0,21.0,0.2,24.0,0.0,1,30.0,1,5.0
,7560.0,8.0,3336.0,54.0,0.17,21.0,0.23199999999999998,1,40.0,2,4413.0,32.0,0.17,20.0,0.473,1,52.0,4,4920.0,27.0,0.19,25.0,0.063,1,72.0,2,4424.0,33.0,0.16,65.0,0.6,1,11.0,4,4198.0,36.0,0.19,36.0,0.159,1,80.0,2,3212.0,56.0,0.16,54.0,0.409,1,44.0,3,77.0
,640.0,9.0,4056.0,40.0,0.15,50.0,0.336,1,69.0,2,4652.0,33.0,0.2,35.0,0.10300000000000001,1,20.0,2,4504.0,30.0,0.16,18.0,0.5429999999999999,1,70.0,4,3559.0,50.0,0.18,52.0,0.29,1,19.0,2,3391.0,53.0,0.18,17.0,0.315,1,60.0,1,4996.0,25.0,0.14,39.0,0.013000000000000001,1,25.0,1,6.0
,10770.0,10.0,3075.0,56.0,0.16,14.0,0.414,1,59.0,3,4630.0,31.0,0.16,59.0,0.308,1,53.0,2,4489.0,32.0,0.18,41.0,0.171,1,57.0,2,3833.0,44.0,0.12,46.0,0.53,1,28.0,4,5008.0,21.0,0.2,24.0,0.0,1,30.0,1,4069.0,38.0,0.17,15.0,0.455,1,18.0,4,30.0
,15900.0,11.0,3713.0,44.0,0.13,51.0,0.43799999999999994,1,62.0,3,4596.0,35.0,0.17,69.0,0.39399999999999996,1,39.0,3,4468.0,32.0,0.13,60.0,0.446,1,64.0,4,3277.0,52.0,0.17,32.0,0.299,1,71.0,2,4067.0,38.0,0.16,63.0,0.513,1,63.0,4,3948.0,42.0,0.18,43.0,0.292,1,73.0,2,23.0
,1600.0,12.0,3557.0,45.0,0.16,13.0,0.5870000000000001,1,43.0,4,3502.0,49.0,0.17,11.0,0.562,1,34.0,4,3834.0,44.0,0.19,53.0,0.359,1,78.0,3,3800.0,44.0,0.16,27.0,0.469,1,38.0,4,4413.0,32.0,0.17,20.0,0.473,1,52.0,4,4360.0,34.0,0.18,70.0,0.281,1,35.0,2,9.0
,700.0,1.0,3833.0,44.0,0.12,46.0,0.53,1,28.0,4,2844.0,61.0,0.19,66.0,0.247,1,45.0,2,3601.0,48.0,0.21,58.0,0.16399999999999998,1,15.0,2,4619.0,35.0,0.17,48.0,0.18100000000000002,1,21.0,2,4640.0,27.0,0.17,37.0,0.265,1,65.0,2,4920.0,27.0,0.19,25.0,0.063,1,72.0,2,1.0
,870.0,2.0,4413.0,32.0,0.17,20.0,0.473,1,52.0,4,4904.0,24.0,0.17,23.0,0.18,1,50.0,2,4069.0,38.0,0.17,15.0,0.455,1,18.0,4,4652.0,33.0,0.2,35.0,0.10300000000000001,1,20.0,2,3742.0,44.0,0.17,16.0,0.33299999999999996,1,23.0,3,3559.0,50.0,0.18,52.0,0.29,1,19.0,2,8.0
,1730.0,3.0,4424.0,33.0,0.16,65.0,0.6,1,11.0,4,4360.0,34.0,0.18,70.0,0.281,1,35.0,2,3713.0,44.0,0.13,51.0,0.43799999999999994,1,62.0,3,4911.0,22.0,0.2,19.0,0.066,1,36.0,2,3616.0,45.0,0.16,26.0,0.366,1,16.0,3,4596.0,35.0,0.17,69.0,0.39399999999999996,1,39.0,3,4.0
,780.0,4.0,2930.0,62.0,0.17,42.0,0.402,1,32.0,3,3212.0,56.0,0.16,54.0,0.409,1,44.0,3,4489.0,32.0,0.18,41.0,0.171,1,57.0,2,3814.0,42.0,0.19,29.0,0.36,1,41.0,3,4138.0,38.0,0.15,44.0,0.336,1,48.0,3,3336.0,54.0,0.17,21.0,0.23199999999999998,1,40.0,2,1.0
