,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2015-04-04,13500.0,3,4488,29.0,0.16,20.0,0.358,1,69.0,3,3584,42.0,0.17,1.0,0.434,1,61.0,3,4364,30.0,0.15,51.0,0.617,1,12.0,4,4151,33.0,0.19,47.0,0.287,1,55.0,2,4015,36.0,0.17,41.0,0.447,1,20.0,3,4661,23.0,0.19,21.0,0.23,1,22.0,2,15
,2015-04-04,2690.0,4,4236,32.0,0.12,55.0,0.546,1,47.0,4,4047,35.0,0.17,3.0,0.33,1,50.0,3,4359,31.0,0.13,27.0,0.377,1,36.0,3,3902,38.0,0.22,37.0,0.381,1,41.0,2,4759,26.0,0.22,16.0,0.28300000000000003,1,27.0,2,4625,29.0,0.22,48.0,0.129,1,54.0,2,14
,2015-04-04,3280.0,5,3842,39.0,0.17,6.0,0.47600000000000003,1,28.0,4,3885,41.0,0.19,32.0,0.391,1,42.0,3,4757,26.0,0.14,14.0,0.29600000000000004,1,48.0,2,2380,65.0,0.16,38.0,0.382,1,34.0,3,4529,27.0,0.16,43.0,0.311,1,18.0,3,4765,25.0,0.2,28.0,0.051,0,39.0,1,22
,2015-04-04,1860.0,6,4466,29.0,0.18,49.0,0.365,1,62.0,3,3333,47.0,0.16,7.0,0.493,1,53.0,4,3379,47.0,0.17,10.0,0.466,1,17.0,4,4434,29.0,0.16,25.0,0.282,1,33.0,2,4008,36.0,0.16,42.0,0.462,1,32.0,4,3455,44.0,0.2,60.0,0.341,1,72.0,2,1
,2015-04-04,3460.0,7,3234,48.0,0.18,44.0,0.207,1,56.0,2,4151,33.0,0.19,47.0,0.287,1,55.0,2,4479,27.0,0.2,24.0,0.21899999999999997,0,49.0,2,4674,28.0,0.18,29.0,0.157,1,75.0,2,4737,24.0,0.17,31.0,0.342,1,65.0,2,4743,23.0,0.16,40.0,0.22,1,66.0,2,9
,2015-04-04,1490.0,8,4498,28.0,0.18,26.0,0.266,1,16.0,2,3296,48.0,0.21,15.0,0.14,1,23.0,2,4525,27.0,0.19,59.0,0.154,0,71.0,2,3559,47.0,0.17,23.0,0.34,1,30.0,3,4744,23.0,0.23,11.0,0.102,0,58.0,2,4373,27.0,0.19,46.0,0.293,0,21.0,2,12
,2015-04-04,2720.0,9,4233,32.0,0.16,53.0,0.486,1,68.0,4,4359,31.0,0.13,27.0,0.377,1,36.0,3,4529,27.0,0.16,43.0,0.311,1,18.0,3,3455,44.0,0.2,60.0,0.341,1,72.0,2,4661,23.0,0.19,21.0,0.23,1,22.0,2,4502,27.0,0.16,4.0,0.602,0,57.0,4,8
,2015-04-04,5710.0,10,4015,36.0,0.17,41.0,0.447,1,20.0,3,3443,46.0,0.21,35.0,0.42100000000000004,1,59.0,3,4488,29.0,0.16,20.0,0.358,1,69.0,3,4466,29.0,0.18,49.0,0.365,1,62.0,3,3842,39.0,0.17,6.0,0.47600000000000003,1,28.0,4,4313,31.0,0.16,22.0,0.163,0,43.0,2,15
,2015-04-04,1190.0,11,4364,30.0,0.15,51.0,0.617,1,12.0,4,4498,28.0,0.18,26.0,0.266,1,16.0,2,4208,32.0,0.16,33.0,0.644,0,73.0,4,4759,26.0,0.22,16.0,0.28300000000000003,1,27.0,2,3234,48.0,0.18,44.0,0.207,1,56.0,2,4737,24.0,0.17,31.0,0.342,1,65.0,2,5
,2015-04-04,9540.0,12,4008,36.0,0.16,42.0,0.462,1,32.0,4,4236,32.0,0.12,55.0,0.546,1,47.0,4,3902,38.0,0.22,37.0,0.381,1,41.0,2,4233,32.0,0.16,53.0,0.486,1,68.0,4,3379,47.0,0.17,10.0,0.466,1,17.0,4,3584,42.0,0.17,1.0,0.434,1,61.0,3,29
,2015-04-05,1630.0,1,4498,28.0,0.18,26.0,0.266,1,16.0,2,3296,48.0,0.21,15.0,0.14,1,23.0,2,4743,23.0,0.16,40.0,0.22,1,66.0,2,4525,27.0,0.19,59.0,0.154,0,71.0,2,4765,25.0,0.2,28.0,0.051,0,39.0,1,4151,33.0,0.19,47.0,0.287,1,55.0,2,12
,2015-04-05,800.0,2,4488,29.0,0.16,20.0,0.358,1,69.0,3,4382,31.0,0.19,54.0,0.373,1,51.0,3,4625,29.0,0.22,48.0,0.129,1,54.0,2,4047,35.0,0.17,3.0,0.33,1,50.0,3,4757,26.0,0.14,14.0,0.29600000000000004,1,48.0,2,4674,28.0,0.18,29.0,0.157,1,75.0,2,11
,2015-04-05,1970.0,3,3379,47.0,0.17,10.0,0.466,1,17.0,4,2380,65.0,0.16,38.0,0.382,1,34.0,3,4008,36.0,0.16,42.0,0.462,1,32.0,4,4479,27.0,0.2,24.0,0.21899999999999997,0,49.0,2,3333,47.0,0.16,7.0,0.493,1,53.0,4,4373,27.0,0.19,46.0,0.293,0,21.0,2,41
,2015-04-05,2580.0,4,3443,46.0,0.21,35.0,0.42100000000000004,1,59.0,3,4737,24.0,0.17,31.0,0.342,1,65.0,2,3455,44.0,0.2,60.0,0.341,1,72.0,2,4529,27.0,0.16,43.0,0.311,1,18.0,3,4313,31.0,0.16,22.0,0.163,0,43.0,2,4661,23.0,0.19,21.0,0.23,1,22.0,2,10
,2015-04-05,1520.0,5,3885,41.0,0.19,32.0,0.391,1,42.0,3,4466,29.0,0.18,49.0,0.365,1,62.0,3,4759,26.0,0.22,16.0,0.28300000000000003,1,27.0,2,4434,29.0,0.16,25.0,0.282,1,33.0,2,4744,23.0,0.23,11.0,0.102,0,58.0,2,4765,25.0,0.2,28.0,0.051,0,39.0,1,21
,2015-04-05,2030.0,6,3902,38.0,0.22,37.0,0.381,1,41.0,2,4502,27.0,0.16,4.0,0.602,0,57.0,4,3559,47.0,0.17,23.0,0.34,1,30.0,3,4359,31.0,0.13,27.0,0.377,1,36.0,3,4743,23.0,0.16,40.0,0.22,1,66.0,2,4757,26.0,0.14,14.0,0.29600000000000004,1,48.0,2,22
,2015-04-05,5350.0,7,3584,42.0,0.17,1.0,0.434,1,61.0,3,4625,29.0,0.22,48.0,0.129,1,54.0,2,4674,28.0,0.18,29.0,0.157,1,75.0,2,3296,48.0,0.21,15.0,0.14,1,23.0,2,4151,33.0,0.19,47.0,0.287,1,55.0,2,3234,48.0,0.18,44.0,0.207,1,56.0,2,2
,2015-04-05,23700.0,8,4047,35.0,0.17,3.0,0.33,1,50.0,3,4479,27.0,0.2,24.0,0.21899999999999997,0,49.0,2,4382,31.0,0.19,54.0,0.373,1,51.0,3,2380,65.0,0.16,38.0,0.382,1,34.0,3,4529,27.0,0.16,43.0,0.311,1,18.0,3,4525,27.0,0.19,59.0,0.154,0,71.0,2,92
,2015-04-05,1420.0,9,3559,47.0,0.17,23.0,0.34,1,30.0,3,3455,44.0,0.2,60.0,0.341,1,72.0,2,3885,41.0,0.19,32.0,0.391,1,42.0,3,3333,47.0,0.16,7.0,0.493,1,53.0,4,4373,27.0,0.19,46.0,0.293,0,21.0,2,3950,39.0,0.17,5.0,0.228,1,44.0,2,2
,2015-04-05,2380.0,10,4466,29.0,0.18,49.0,0.365,1,62.0,3,3234,48.0,0.18,44.0,0.207,1,56.0,2,3902,38.0,0.22,37.0,0.381,1,41.0,2,3443,46.0,0.21,35.0,0.42100000000000004,1,59.0,3,3379,47.0,0.17,10.0,0.466,1,17.0,4,4737,24.0,0.17,31.0,0.342,1,65.0,2,14
,2015-04-05,680.0,11,4008,36.0,0.16,42.0,0.462,1,32.0,4,4498,28.0,0.18,26.0,0.266,1,16.0,2,4488,29.0,0.16,20.0,0.358,1,69.0,3,4759,26.0,0.22,16.0,0.28300000000000003,1,27.0,2,3584,42.0,0.17,1.0,0.434,1,61.0,3,4313,31.0,0.16,22.0,0.163,0,43.0,2,2
,2015-04-05,1960.0,12,4364,30.0,0.15,51.0,0.617,1,12.0,4,4236,32.0,0.12,55.0,0.546,1,47.0,4,4015,36.0,0.17,41.0,0.447,1,20.0,3,4233,32.0,0.16,53.0,0.486,1,68.0,4,4208,32.0,0.16,33.0,0.644,0,73.0,4,3842,39.0,0.17,6.0,0.47600000000000003,1,28.0,4,9
,2015-04-14,820.0,1,3514,48.0,0.16,35.0,0.5,1,29.0,3,4020,35.0,0.21,1.0,0.235,1,37.0,2,4650,31.0,0.17,7.0,0.295,1,46.0,2,3293,50.0,0.2,43.0,0.22899999999999998,1,68.0,2,4250,33.0,0.22,55.0,0.136,1,12.0,1,4691,32.0,0.21,20.0,0.22899999999999998,1,18.0,2,2
,2015-04-14,8120.0,2,3699,43.0,0.18,4.0,0.433,1,36.0,3,4145,34.0,0.25,56.0,0.168,1,27.0,2,3807,41.0,0.17,31.0,0.247,1,69.0,2,3946,39.0,0.15,49.0,0.418,1,20.0,4,3951,39.0,0.17,18.0,0.33799999999999997,1,33.0,3,4697,29.0,0.19,11.0,0.11900000000000001,1,62.0,2,42
,2015-04-14,1280.0,3,3305,48.0,0.18,2.0,0.39799999999999996,1,32.0,3,3587,42.0,0.13,57.0,0.4,1,65.0,3,4528,27.0,0.14,54.0,0.575,1,70.0,4,2997,53.0,0.23,5.0,0.222,1,51.0,2,4378,31.0,0.17,40.0,0.392,1,44.0,3,4527,27.0,0.2,16.0,0.231,1,16.0,2,47
,2015-04-14,1280.0,4,3484,44.0,0.17,3.0,0.534,1,49.0,4,3463,48.0,0.19,53.0,0.425,1,38.0,3,3527,44.0,0.18,42.0,0.41100000000000003,1,28.0,3,3825,42.0,0.14,10.0,0.159,1,60.0,2,3353,47.0,0.17,14.0,0.43,1,35.0,3,4816,24.0,0.14,58.0,0.267,1,67.0,2,7
,2015-04-14,36700.0,5,3745,41.0,0.17,21.0,0.34600000000000003,1,31.0,3,3329,48.0,0.14,59.0,0.494,1,48.0,4,4272,33.0,0.15,23.0,0.327,1,13.0,2,4020,35.0,0.21,1.0,0.235,1,37.0,2,4709,26.0,0.16,26.0,0.17,1,47.0,2,4821,24.0,0.18,33.0,0.065,1,45.0,1,28
,2015-04-14,3430.0,6,4053,37.0,0.16,41.0,0.474,1,21.0,4,4650,31.0,0.17,7.0,0.295,1,46.0,2,3663,45.0,0.16,44.0,0.42100000000000004,1,15.0,3,4145,34.0,0.25,56.0,0.168,1,27.0,2,3907,37.0,0.18,48.0,0.526,1,63.0,4,4684,25.0,0.16,38.0,0.284,1,34.0,2,53
,2015-04-14,8950.0,7,2585,63.0,0.19,29.0,0.268,1,66.0,2,4195,33.0,0.17,25.0,0.36,1,11.0,2,4167,33.0,0.16,6.0,0.223,1,17.0,2,4588,24.0,0.16,15.0,0.33299999999999996,1,53.0,2,4697,29.0,0.19,11.0,0.11900000000000001,1,62.0,2,3293,50.0,0.2,43.0,0.22899999999999998,1,68.0,2,63
,2015-04-14,2750.0,8,3463,48.0,0.19,53.0,0.425,1,38.0,3,4087,35.0,0.18,46.0,0.18100000000000002,1,30.0,2,4527,27.0,0.2,16.0,0.231,1,16.0,2,3699,43.0,0.18,4.0,0.433,1,36.0,3,4691,32.0,0.21,20.0,0.22899999999999998,1,18.0,2,4808,27.0,0.16,37.0,0.377,1,61.0,3,77
,2015-04-14,6910.0,9,3694,44.0,0.17,28.0,0.21100000000000002,1,54.0,2,3825,42.0,0.14,10.0,0.159,1,60.0,2,3305,48.0,0.18,2.0,0.39799999999999996,1,32.0,3,4709,26.0,0.16,26.0,0.17,1,47.0,2,3712,41.0,0.17,52.0,0.46799999999999997,1,19.0,4,4301,32.0,0.16,32.0,0.345,1,64.0,3,76
,2015-04-14,2270.0,10,3663,45.0,0.16,44.0,0.42100000000000004,1,15.0,3,4272,33.0,0.15,23.0,0.327,1,13.0,2,3353,47.0,0.17,14.0,0.43,1,35.0,3,3641,44.0,0.18,51.0,0.444,1,14.0,3,3807,41.0,0.17,31.0,0.247,1,69.0,2,4086,35.0,0.16,22.0,0.39799999999999996,1,52.0,3,1
,2015-04-14,1230.0,11,3527,44.0,0.18,42.0,0.41100000000000003,1,28.0,3,4588,24.0,0.16,15.0,0.33299999999999996,1,53.0,2,4053,37.0,0.16,41.0,0.474,1,21.0,4,3745,41.0,0.17,21.0,0.34600000000000003,1,31.0,3,3708,41.0,0.18,24.0,0.353,1,50.0,3,4378,31.0,0.17,40.0,0.392,1,44.0,3,6
,2015-04-14,1040.0,12,3946,39.0,0.15,49.0,0.418,1,20.0,4,3484,44.0,0.17,3.0,0.534,1,49.0,4,3329,48.0,0.14,59.0,0.494,1,48.0,4,3514,48.0,0.16,35.0,0.5,1,29.0,3,4528,27.0,0.14,54.0,0.575,1,70.0,4,3907,37.0,0.18,48.0,0.526,1,63.0,4,3
,2015-04-15,2670.0,1,3907,37.0,0.18,48.0,0.526,1,63.0,4,4250,33.0,0.22,55.0,0.136,1,12.0,1,4145,34.0,0.25,56.0,0.168,1,27.0,2,3587,42.0,0.13,57.0,0.4,1,65.0,3,4821,24.0,0.18,33.0,0.065,1,45.0,1,4816,24.0,0.14,58.0,0.267,1,67.0,2,61
,2015-04-15,1070.0,2,3712,41.0,0.17,52.0,0.46799999999999997,1,19.0,4,4808,27.0,0.16,37.0,0.377,1,61.0,3,2997,53.0,0.23,5.0,0.222,1,51.0,2,4528,27.0,0.14,54.0,0.575,1,70.0,4,4087,35.0,0.18,46.0,0.18100000000000002,1,30.0,2,4272,33.0,0.15,23.0,0.327,1,13.0,2,64
,2015-04-15,1210.0,3,3353,47.0,0.17,14.0,0.43,1,35.0,3,3951,39.0,0.17,18.0,0.33799999999999997,1,33.0,3,3946,39.0,0.15,49.0,0.418,1,20.0,4,4588,24.0,0.16,15.0,0.33299999999999996,1,53.0,2,3463,48.0,0.19,53.0,0.425,1,38.0,3,4684,25.0,0.16,38.0,0.284,1,34.0,2,41
,2015-04-15,1070.0,4,3329,48.0,0.14,59.0,0.494,1,48.0,4,3694,44.0,0.17,28.0,0.21100000000000002,1,54.0,2,4195,33.0,0.17,25.0,0.36,1,11.0,2,4697,29.0,0.19,11.0,0.11900000000000001,1,62.0,2,3745,41.0,0.17,21.0,0.34600000000000003,1,31.0,3,4691,32.0,0.21,20.0,0.22899999999999998,1,18.0,2,7
,2015-04-15,640.0,5,4301,32.0,0.16,32.0,0.345,1,64.0,3,3514,48.0,0.16,35.0,0.5,1,29.0,3,4167,33.0,0.16,6.0,0.223,1,17.0,2,2585,63.0,0.19,29.0,0.268,1,66.0,2,4527,27.0,0.2,16.0,0.231,1,16.0,2,4821,24.0,0.18,33.0,0.065,1,45.0,1,1
,2015-04-15,4270.0,6,3825,42.0,0.14,10.0,0.159,1,60.0,2,4378,31.0,0.17,40.0,0.392,1,44.0,3,4808,27.0,0.16,37.0,0.377,1,61.0,3,3484,44.0,0.17,3.0,0.534,1,49.0,4,4086,35.0,0.16,22.0,0.39799999999999996,1,52.0,3,4053,37.0,0.16,41.0,0.474,1,21.0,4,32
,2015-04-15,11820.0,7,2997,53.0,0.23,5.0,0.222,1,51.0,2,3807,41.0,0.17,31.0,0.247,1,69.0,2,3951,39.0,0.17,18.0,0.33799999999999997,1,33.0,3,4020,35.0,0.21,1.0,0.235,1,37.0,2,3587,42.0,0.13,57.0,0.4,1,65.0,3,4650,31.0,0.17,7.0,0.295,1,46.0,2,99
,2015-04-15,2180.0,9,3527,44.0,0.18,42.0,0.41100000000000003,1,28.0,3,3712,41.0,0.17,52.0,0.46799999999999997,1,19.0,4,2585,63.0,0.19,29.0,0.268,1,66.0,2,3907,37.0,0.18,48.0,0.526,1,63.0,4,4684,25.0,0.16,38.0,0.284,1,34.0,2,4086,35.0,0.16,22.0,0.39799999999999996,1,52.0,3,5
