,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,400.0,1,3679,37.0,35.0,3137,26.0,60.0,4420,11.0,42.0,4390,56.0,75.0,4176,61.0,76.0,3564,20.0,38.0,4
,200.0,2,4021,59.0,56.0,2776,19.0,36.0,3310,10.0,65.0,3615,4.0,74.0,4511,42.0,45.0,4705,35.0,78.0,3
,2820.0,3,3121,1.0,63.0,3344,64.0,64.0,4096,15.0,57.0,3758,39.0,68.0,3834,7.0,77.0,4732,41.0,72.0,21
,460.0,4,3555,29.0,67.0,2788,57.0,59.0,2920,53.0,48.0,4365,17.0,44.0,4343,54.0,50.0,4745,43.0,71.0,2
,3170.0,5,3975,49.0,52.0,4370,5.0,46.0,3614,63.0,55.0,4420,11.0,42.0,4073,40.0,47.0,4607,21.0,58.0,21
,1010.0,6,2997,46.0,41.0,3550,28.0,49.0,3538,33.0,43.0,3747,12.0,69.0,3820,52.0,54.0,3920,23.0,51.0,10
,5120.0,7,2776,19.0,36.0,3121,1.0,63.0,3576,24.0,40.0,4076,50.0,61.0,3912,9.0,53.0,3489,36.0,73.0,17
,6930.0,9,2920,53.0,48.0,3614,63.0,55.0,3344,64.0,64.0,3564,20.0,38.0,4521,22.0,39.0,3310,10.0,65.0,5
,2290.0,10,2788,57.0,59.0,3615,4.0,74.0,3550,28.0,49.0,3975,49.0,52.0,3489,36.0,73.0,3834,7.0,77.0,8
,6540.0,11,4076,50.0,61.0,3555,29.0,67.0,3912,9.0,53.0,4021,59.0,56.0,3747,12.0,69.0,3692,60.0,66.0,14
,590.0,12,3576,24.0,40.0,3484,65.0,11.0,3679,37.0,35.0,4370,5.0,46.0,3920,23.0,51.0,4096,15.0,57.0,2
,240.0,1,3489,36.0,73.0,4511,42.0,45.0,4607,21.0,58.0,4521,22.0,39.0,3137,26.0,60.0,3344,64.0,64.0,1
,520.0,2,4370,5.0,46.0,2997,46.0,41.0,4390,56.0,75.0,4091,58.0,37.0,2920,53.0,48.0,4705,35.0,78.0,2
,390.0,3,3912,9.0,53.0,4365,17.0,44.0,3692,60.0,66.0,4343,54.0,50.0,3484,65.0,11.0,3614,63.0,55.0,2
,6850.0,4,3920,23.0,51.0,3747,12.0,69.0,3615,4.0,74.0,4176,61.0,76.0,3850,2.0,62.0,4420,11.0,42.0,13
,510.0,5,3820,52.0,54.0,4096,15.0,57.0,3758,39.0,68.0,3137,26.0,60.0,2776,19.0,36.0,4745,43.0,71.0,8
,430.0,6,4073,40.0,47.0,3834,7.0,77.0,2997,46.0,41.0,3679,37.0,35.0,3121,1.0,63.0,3975,49.0,52.0,3
,2110.0,7,3310,10.0,65.0,3692,60.0,66.0,4521,22.0,39.0,3576,24.0,40.0,4705,35.0,78.0,4076,50.0,61.0,18
,1610.0,8,3550,28.0,49.0,4343,54.0,50.0,2788,57.0,59.0,3538,33.0,43.0,4607,21.0,58.0,3850,2.0,62.0,4
