,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2017-04-08,5380.0,11,3782,41.0,0.16,36.0,0.43,1,20.0,3,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,3881,44.0,0.16,61.0,0.312,1,66.0,2,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,3977,40.0,0.16,20.0,0.395,1,41.0,3,3813,41.0,0.17,21.0,0.445,1,48.0,4,42
,2017-04-08,8930.0,12,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,4099,39.0,0.17,24.0,0.55,1,75.0,4,4108,38.0,0.16,57.0,0.619,1,51.0,4,3578,45.0,0.19,52.0,0.406,1,25.0,3,3876,40.0,0.14,12.0,0.53,1,69.0,4,4276,34.0,0.17,65.0,0.589,1,50.0,3,18
,2017-04-09,4780.0,2,3120,55.0,0.21,70.0,0.20199999999999999,1,16.0,2,3736,44.0,0.19,63.0,0.325,1,21.0,3,3856,45.0,0.19,59.0,0.125,1,56.0,1,3876,40.0,0.14,12.0,0.53,1,69.0,4,3829,44.0,0.17,37.0,0.154,1,14.0,2,3475,47.0,0.18,60.0,0.401,1,60.0,3,64
,2017-04-09,2260.0,3,4226,35.0,0.19,38.0,0.226,1,49.0,2,3684,43.0,0.18,62.0,0.433,1,30.0,4,3929,42.0,0.16,74.0,0.348,1,33.0,3,4389,32.0,0.16,56.0,0.32,1,52.0,2,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,4457,32.0,0.21,27.0,0.096,1,28.0,2,26
,2017-04-09,10950.0,4,4041,38.0,0.2,23.0,0.226,1,59.0,2,3478,47.0,0.16,53.0,0.366,1,26.0,2,3578,45.0,0.19,52.0,0.406,1,25.0,3,3988,39.0,0.17,64.0,0.35600000000000004,1,24.0,3,4665,34.0,0.15,17.0,0.121,1,35.0,2,4413,31.0,0.16,58.0,0.578,1,43.0,4,7
,2017-04-09,1810.0,5,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,3997,38.0,0.16,43.0,0.563,1,44.0,4,4158,36.0,0.18,34.0,0.244,1,22.0,2,4204,35.0,0.19,19.0,0.2,1,70.0,2,4177,35.0,0.18,75.0,0.306,1,29.0,2,3881,44.0,0.16,61.0,0.312,1,66.0,2,33
,2017-04-09,3840.0,6,4330,34.0,0.15,49.0,0.518,1,46.0,4,3856,45.0,0.19,59.0,0.125,1,56.0,1,3910,44.0,0.2,41.0,0.26,1,19.0,2,4834,30.0,0.19,50.0,0.163,1,12.0,2,4943,26.0,0.21,29.0,0.034,1,36.0,2,4332,34.0,0.16,14.0,0.22,1,71.0,2,7
,2017-04-09,740.0,7,3653,44.0,0.2,47.0,0.312,1,42.0,2,3616,44.0,0.17,51.0,0.37,1,72.0,3,4276,34.0,0.17,65.0,0.589,1,50.0,3,4060,38.0,0.18,42.0,0.294,1,55.0,2,4905,23.0,0.18,32.0,0.096,1,15.0,2,4620,33.0,0.18,44.0,0.086,1,65.0,2,5
,2017-04-09,2440.0,8,3684,43.0,0.18,62.0,0.433,1,30.0,4,4772,24.0,0.16,30.0,0.36200000000000004,1,39.0,2,3540,49.0,0.2,72.0,0.166,1,58.0,2,3120,55.0,0.21,70.0,0.20199999999999999,1,16.0,2,3782,41.0,0.16,36.0,0.43,1,20.0,3,4665,34.0,0.15,17.0,0.121,1,35.0,2,81
,2017-04-09,550.0,9,3736,44.0,0.19,63.0,0.325,1,21.0,3,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,4643,24.0,0.14,33.0,0.447,1,62.0,4,3867,42.0,0.16,13.0,0.18,1,13.0,2,4226,35.0,0.19,38.0,0.226,1,49.0,2,4204,35.0,0.19,19.0,0.2,1,70.0,2,1
,2017-04-09,14490.0,10,3977,40.0,0.16,20.0,0.395,1,41.0,3,3475,47.0,0.18,60.0,0.401,1,60.0,3,3616,44.0,0.17,51.0,0.37,1,72.0,3,4108,38.0,0.16,57.0,0.619,1,51.0,4,4457,32.0,0.21,27.0,0.096,1,28.0,2,3578,45.0,0.19,52.0,0.406,1,25.0,3,26
,2017-04-09,2440.0,11,4276,34.0,0.17,65.0,0.589,1,50.0,3,3876,40.0,0.14,12.0,0.53,1,69.0,4,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,3478,47.0,0.16,53.0,0.366,1,26.0,2,3997,38.0,0.16,43.0,0.563,1,44.0,4,3929,42.0,0.16,74.0,0.348,1,33.0,3,7
,2017-04-09,6310.0,12,4099,39.0,0.17,24.0,0.55,1,75.0,4,3813,41.0,0.17,21.0,0.445,1,48.0,4,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,4177,35.0,0.18,75.0,0.306,1,29.0,2,4330,34.0,0.15,49.0,0.518,1,46.0,4,3782,41.0,0.16,36.0,0.43,1,20.0,3,81
,2017-04-10,6350.0,1,3829,44.0,0.17,37.0,0.154,1,14.0,2,4041,38.0,0.2,23.0,0.226,1,59.0,2,4665,34.0,0.15,17.0,0.121,1,35.0,2,4099,39.0,0.17,24.0,0.55,1,75.0,4,4905,23.0,0.18,32.0,0.096,1,15.0,2,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,4
,2017-04-10,940.0,2,3929,42.0,0.16,74.0,0.348,1,33.0,3,3578,45.0,0.19,52.0,0.406,1,25.0,3,3684,43.0,0.18,62.0,0.433,1,30.0,4,3910,44.0,0.2,41.0,0.26,1,19.0,2,4204,35.0,0.19,19.0,0.2,1,70.0,2,3867,42.0,0.16,13.0,0.18,1,13.0,2,5
,2017-04-10,2090.0,3,4158,36.0,0.18,34.0,0.244,1,22.0,2,4643,24.0,0.14,33.0,0.447,1,62.0,4,4177,35.0,0.18,75.0,0.306,1,29.0,2,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,3616,44.0,0.17,51.0,0.37,1,72.0,3,4943,26.0,0.21,29.0,0.034,1,36.0,2,47
,2017-04-10,2400.0,4,4457,32.0,0.21,27.0,0.096,1,28.0,2,3120,55.0,0.21,70.0,0.20199999999999999,1,16.0,2,4330,34.0,0.15,49.0,0.518,1,46.0,4,4276,34.0,0.17,65.0,0.589,1,50.0,3,3881,44.0,0.16,61.0,0.312,1,66.0,2,4060,38.0,0.18,42.0,0.294,1,55.0,2,10
,2017-04-10,2080.0,5,4389,32.0,0.16,56.0,0.32,1,52.0,2,3782,41.0,0.16,36.0,0.43,1,20.0,3,3475,47.0,0.18,60.0,0.401,1,60.0,3,3997,38.0,0.16,43.0,0.563,1,44.0,4,4041,38.0,0.2,23.0,0.226,1,59.0,2,3419,48.0,0.22,11.0,0.247,1,61.0,2,9
,2017-04-10,1220.0,6,3813,41.0,0.17,21.0,0.445,1,48.0,4,3867,42.0,0.16,13.0,0.18,1,13.0,2,4620,33.0,0.18,44.0,0.086,1,65.0,2,4332,34.0,0.16,14.0,0.22,1,71.0,2,4834,30.0,0.19,50.0,0.163,1,12.0,2,4226,35.0,0.19,38.0,0.226,1,49.0,2,4
,2017-04-10,38940.0,7,4772,24.0,0.16,30.0,0.36200000000000004,1,39.0,2,4204,35.0,0.19,19.0,0.2,1,70.0,2,3478,47.0,0.16,53.0,0.366,1,26.0,2,4665,34.0,0.15,17.0,0.121,1,35.0,2,4943,26.0,0.21,29.0,0.034,1,36.0,2,3876,40.0,0.14,12.0,0.53,1,69.0,4,82
,2017-04-10,29930.0,8,3988,39.0,0.17,64.0,0.35600000000000004,1,24.0,3,4389,32.0,0.16,56.0,0.32,1,52.0,2,4567,30.0,0.2,28.0,0.08199999999999999,1,23.0,2,4158,36.0,0.18,34.0,0.244,1,22.0,2,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,4905,23.0,0.18,32.0,0.096,1,15.0,2,76
,2017-04-10,1230.0,9,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,4108,38.0,0.16,57.0,0.619,1,51.0,4,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,3419,48.0,0.22,11.0,0.247,1,61.0,2,3736,44.0,0.19,63.0,0.325,1,21.0,3,3910,44.0,0.2,41.0,0.26,1,19.0,2,21
,2017-04-10,2550.0,10,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,3653,44.0,0.2,47.0,0.312,1,42.0,2,3876,40.0,0.14,12.0,0.53,1,69.0,4,3829,44.0,0.17,37.0,0.154,1,14.0,2,3929,42.0,0.16,74.0,0.348,1,33.0,3,4834,30.0,0.19,50.0,0.163,1,12.0,2,6
,2017-04-10,860.0,11,3997,38.0,0.16,43.0,0.563,1,44.0,4,4177,35.0,0.18,75.0,0.306,1,29.0,2,4099,39.0,0.17,24.0,0.55,1,75.0,4,4457,32.0,0.21,27.0,0.096,1,28.0,2,3684,43.0,0.18,62.0,0.433,1,30.0,4,4567,30.0,0.2,28.0,0.08199999999999999,1,23.0,2,7
,2017-04-10,3890.0,12,4108,38.0,0.16,57.0,0.619,1,51.0,4,4276,34.0,0.17,65.0,0.589,1,50.0,3,3977,40.0,0.16,20.0,0.395,1,41.0,3,4413,31.0,0.16,58.0,0.578,1,43.0,4,3813,41.0,0.17,21.0,0.445,1,48.0,4,3478,47.0,0.16,53.0,0.366,1,26.0,2,63
,2017-04-11,1420.0,1,4332,34.0,0.16,14.0,0.22,1,71.0,2,3881,44.0,0.16,61.0,0.312,1,66.0,2,3419,48.0,0.22,11.0,0.247,1,61.0,2,3782,41.0,0.16,36.0,0.43,1,20.0,3,4943,26.0,0.21,29.0,0.034,1,36.0,2,3120,55.0,0.21,70.0,0.20199999999999999,1,16.0,2,9
,2017-04-11,3420.0,2,4204,35.0,0.19,19.0,0.2,1,70.0,2,4413,31.0,0.16,58.0,0.578,1,43.0,4,4177,35.0,0.18,75.0,0.306,1,29.0,2,3977,40.0,0.16,20.0,0.395,1,41.0,3,3988,39.0,0.17,64.0,0.35600000000000004,1,24.0,3,4905,23.0,0.18,32.0,0.096,1,15.0,2,27
,2017-04-11,5340.0,3,3653,44.0,0.2,47.0,0.312,1,42.0,2,3813,41.0,0.17,21.0,0.445,1,48.0,4,3736,44.0,0.19,63.0,0.325,1,21.0,3,3684,43.0,0.18,62.0,0.433,1,30.0,4,4060,38.0,0.18,42.0,0.294,1,55.0,2,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,46
,2017-04-11,42570.0,4,3867,42.0,0.16,13.0,0.18,1,13.0,2,4099,39.0,0.17,24.0,0.55,1,75.0,4,4276,34.0,0.17,65.0,0.589,1,50.0,3,4226,35.0,0.19,38.0,0.226,1,49.0,2,4389,32.0,0.16,56.0,0.32,1,52.0,2,4108,38.0,0.16,57.0,0.619,1,51.0,4,87
,2017-04-11,13840.0,5,3910,44.0,0.2,41.0,0.26,1,19.0,2,3929,42.0,0.16,74.0,0.348,1,33.0,3,3997,38.0,0.16,43.0,0.563,1,44.0,4,3475,47.0,0.18,60.0,0.401,1,60.0,3,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,3829,44.0,0.17,37.0,0.154,1,14.0,2,34
,2017-04-11,3610.0,6,3876,40.0,0.14,12.0,0.53,1,69.0,4,4457,32.0,0.21,27.0,0.096,1,28.0,2,4772,24.0,0.16,30.0,0.36200000000000004,1,39.0,2,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,3120,55.0,0.21,70.0,0.20199999999999999,1,16.0,2,3616,44.0,0.17,51.0,0.37,1,72.0,3,44
,2017-04-11,1260.0,7,4643,24.0,0.14,33.0,0.447,1,62.0,4,4330,34.0,0.15,49.0,0.518,1,46.0,4,4041,38.0,0.2,23.0,0.226,1,59.0,2,3881,44.0,0.16,61.0,0.312,1,66.0,2,3653,44.0,0.2,47.0,0.312,1,42.0,2,4177,35.0,0.18,75.0,0.306,1,29.0,2,3
,2017-04-11,1080.0,8,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,4158,36.0,0.18,34.0,0.244,1,22.0,2,4060,38.0,0.18,42.0,0.294,1,55.0,2,4834,30.0,0.19,50.0,0.163,1,12.0,2,3478,47.0,0.16,53.0,0.366,1,26.0,2,4943,26.0,0.21,29.0,0.034,1,36.0,2,5
,2017-04-11,760.0,9,3578,45.0,0.19,52.0,0.406,1,25.0,3,4620,33.0,0.18,44.0,0.086,1,65.0,2,4226,35.0,0.19,38.0,0.226,1,49.0,2,3929,42.0,0.16,74.0,0.348,1,33.0,3,4567,30.0,0.2,28.0,0.08199999999999999,1,23.0,2,3988,39.0,0.17,64.0,0.35600000000000004,1,24.0,3,10
,2017-04-11,12750.0,10,4276,34.0,0.17,65.0,0.589,1,50.0,3,3736,44.0,0.19,63.0,0.325,1,21.0,3,4330,34.0,0.15,49.0,0.518,1,46.0,4,4772,24.0,0.16,30.0,0.36200000000000004,1,39.0,2,4413,31.0,0.16,58.0,0.578,1,43.0,4,3997,38.0,0.16,43.0,0.563,1,44.0,4,76
,2017-04-11,1540.0,11,4099,39.0,0.17,24.0,0.55,1,75.0,4,3782,41.0,0.16,36.0,0.43,1,20.0,3,3813,41.0,0.17,21.0,0.445,1,48.0,4,3616,44.0,0.17,51.0,0.37,1,72.0,3,4643,24.0,0.14,33.0,0.447,1,62.0,4,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,7
,2017-04-11,650.0,12,4108,38.0,0.16,57.0,0.619,1,74.0,4,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,3876,40.0,0.14,12.0,0.53,1,69.0,4,3578,45.0,0.19,52.0,0.406,1,25.0,3,3475,47.0,0.18,60.0,0.401,1,60.0,3,3977,40.0,0.16,20.0,0.395,1,41.0,3,1
,2017-04-12,5070.0,1,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,4060,38.0,0.18,42.0,0.294,1,55.0,2,3867,42.0,0.16,13.0,0.18,1,13.0,2,3988,39.0,0.17,64.0,0.35600000000000004,1,24.0,3,4620,33.0,0.18,44.0,0.086,1,65.0,2,4834,30.0,0.19,50.0,0.163,1,12.0,2,25
,2017-04-12,2600.0,2,4567,30.0,0.2,28.0,0.08199999999999999,1,23.0,2,4330,34.0,0.15,49.0,0.518,1,46.0,4,3829,44.0,0.17,37.0,0.154,1,14.0,2,3977,40.0,0.16,20.0,0.395,1,41.0,3,3929,42.0,0.16,74.0,0.348,1,33.0,3,4099,39.0,0.17,24.0,0.55,1,75.0,4,22
,2017-04-12,1550.0,3,4389,32.0,0.16,56.0,0.32,1,52.0,2,4643,24.0,0.14,33.0,0.447,1,62.0,4,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,3478,47.0,0.16,53.0,0.366,1,26.0,2,4108,38.0,0.16,57.0,0.619,1,74.0,4,4943,26.0,0.21,29.0,0.034,1,36.0,2,21
,2017-04-12,7230.0,4,3684,43.0,0.18,62.0,0.433,1,30.0,4,4772,24.0,0.16,30.0,0.36200000000000004,1,39.0,2,3578,45.0,0.19,52.0,0.406,1,25.0,3,4332,34.0,0.16,14.0,0.22,1,71.0,2,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,4276,34.0,0.17,65.0,0.589,1,50.0,3,12
,2017-04-12,3880.0,5,4177,35.0,0.18,75.0,0.306,1,29.0,2,3616,44.0,0.17,51.0,0.37,1,72.0,3,3475,47.0,0.18,60.0,0.401,1,60.0,3,3813,41.0,0.17,21.0,0.445,1,48.0,4,4457,32.0,0.21,27.0,0.096,1,28.0,2,3997,38.0,0.16,43.0,0.563,1,44.0,4,17
,2017-04-12,2820.0,6,3782,41.0,0.16,36.0,0.43,1,20.0,3,4158,36.0,0.18,34.0,0.244,1,22.0,2,3419,48.0,0.22,11.0,0.247,1,61.0,2,4226,35.0,0.19,38.0,0.226,1,49.0,2,3829,44.0,0.17,37.0,0.154,1,14.0,2,4905,23.0,0.18,32.0,0.096,1,15.0,2,11
,2017-04-12,2210.0,7,3736,44.0,0.19,63.0,0.325,1,21.0,3,3120,55.0,0.21,70.0,0.20199999999999999,1,16.0,2,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,4204,35.0,0.19,19.0,0.2,1,70.0,2,3881,44.0,0.16,61.0,0.312,1,66.0,2,3653,44.0,0.2,47.0,0.312,1,42.0,2,1
,2017-04-12,6050.0,8,3876,40.0,0.14,12.0,0.53,1,69.0,4,4332,34.0,0.16,14.0,0.22,1,71.0,2,4620,33.0,0.18,44.0,0.086,1,65.0,2,3910,44.0,0.2,41.0,0.26,1,19.0,2,4413,31.0,0.16,58.0,0.578,1,43.0,4,4041,38.0,0.2,23.0,0.226,1,59.0,2,93
,2017-04-12,2380.0,9,4108,38.0,0.16,57.0,0.619,1,74.0,4,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,3813,41.0,0.17,21.0,0.445,1,48.0,4,3578,45.0,0.19,52.0,0.406,1,25.0,3,4330,34.0,0.15,49.0,0.518,1,46.0,4,4177,35.0,0.18,75.0,0.306,1,29.0,2,8
,2017-04-12,990.0,10,3997,38.0,0.16,43.0,0.563,1,44.0,4,3929,42.0,0.16,74.0,0.348,1,33.0,3,3782,41.0,0.16,36.0,0.43,1,20.0,3,4276,34.0,0.17,65.0,0.589,1,50.0,3,4643,24.0,0.14,33.0,0.447,1,62.0,4,3736,44.0,0.19,63.0,0.325,1,21.0,3,2
,2017-04-12,4860.0,11,4413,31.0,0.16,58.0,0.578,1,43.0,4,4099,39.0,0.17,24.0,0.55,1,75.0,4,3616,44.0,0.17,51.0,0.37,1,72.0,3,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,3684,43.0,0.18,62.0,0.433,1,30.0,4,4389,32.0,0.16,56.0,0.32,1,52.0,2,29
,2017-04-12,2310.0,12,3475,47.0,0.18,60.0,0.401,1,60.0,3,3977,40.0,0.16,20.0,0.395,1,41.0,3,3881,44.0,0.16,61.0,0.312,1,66.0,2,3876,40.0,0.14,12.0,0.53,1,69.0,4,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,4772,24.0,0.16,30.0,0.36200000000000004,1,39.0,2,6
,2017-04-13,2890.0,1,3419,48.0,0.22,11.0,0.247,1,61.0,2,3867,42.0,0.16,13.0,0.18,1,13.0,2,4457,32.0,0.21,27.0,0.096,1,28.0,2,3478,47.0,0.16,53.0,0.366,1,26.0,2,4834,30.0,0.19,50.0,0.163,1,12.0,2,4158,36.0,0.18,34.0,0.244,1,22.0,2,6
,2017-04-13,6180.0,2,4204,35.0,0.19,19.0,0.2,1,70.0,2,3910,44.0,0.2,41.0,0.26,1,19.0,2,3432,49.0,0.16,68.0,0.28300000000000003,1,37.0,2,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,3120,55.0,0.21,70.0,0.20199999999999999,1,16.0,2,4905,23.0,0.18,32.0,0.096,1,15.0,2,51
,2017-04-13,1350.0,3,4389,32.0,0.16,56.0,0.32,1,52.0,2,3653,44.0,0.2,47.0,0.312,1,42.0,2,3977,40.0,0.16,20.0,0.395,1,41.0,3,3736,44.0,0.19,63.0,0.325,1,21.0,3,4041,38.0,0.2,23.0,0.226,1,59.0,2,4567,30.0,0.2,28.0,0.08199999999999999,1,23.0,2,6
,2017-04-13,51860.0,4,4276,34.0,0.17,65.0,0.589,1,50.0,3,4226,35.0,0.19,38.0,0.226,1,49.0,2,3684,43.0,0.18,62.0,0.433,1,30.0,4,3829,44.0,0.17,37.0,0.154,1,14.0,2,4060,38.0,0.18,42.0,0.294,1,55.0,2,4413,31.0,0.16,58.0,0.578,1,67.0,4,90
,2017-04-13,920.0,5,3578,45.0,0.19,52.0,0.406,1,25.0,3,3988,39.0,0.17,64.0,0.35600000000000004,1,24.0,3,4332,34.0,0.16,14.0,0.22,1,71.0,2,4177,35.0,0.18,75.0,0.306,1,29.0,2,3867,42.0,0.16,13.0,0.18,1,13.0,2,3616,44.0,0.17,51.0,0.37,1,72.0,3,2
,2017-04-13,680.0,6,4330,34.0,0.15,49.0,0.518,1,46.0,4,3419,48.0,0.22,11.0,0.247,1,61.0,2,3881,44.0,0.16,61.0,0.312,1,66.0,2,4620,33.0,0.18,44.0,0.086,1,65.0,2,3790,45.0,0.17,40.0,0.23399999999999999,1,38.0,2,4943,26.0,0.21,29.0,0.034,1,36.0,2,5
,2017-04-13,5380.0,7,4643,24.0,0.14,33.0,0.447,1,62.0,4,3478,47.0,0.16,53.0,0.366,1,26.0,2,3782,41.0,0.16,36.0,0.43,1,20.0,3,4567,30.0,0.2,28.0,0.08199999999999999,1,23.0,2,4772,24.0,0.16,30.0,0.36200000000000004,1,39.0,2,3910,44.0,0.2,41.0,0.26,1,19.0,2,2
,2017-04-13,1140.0,8,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,4041,38.0,0.2,23.0,0.226,1,59.0,2,4060,38.0,0.18,42.0,0.294,1,55.0,2,4332,34.0,0.16,14.0,0.22,1,71.0,2,4204,35.0,0.19,19.0,0.2,1,70.0,2,4834,30.0,0.19,50.0,0.163,1,12.0,2,6
,2017-04-13,2820.0,9,3988,39.0,0.17,64.0,0.35600000000000004,1,24.0,3,4457,32.0,0.21,27.0,0.096,1,28.0,2,3653,44.0,0.2,47.0,0.312,1,42.0,2,4226,35.0,0.19,38.0,0.226,1,49.0,2,4905,23.0,0.18,32.0,0.096,1,15.0,2,3475,47.0,0.18,60.0,0.401,1,60.0,3,17
,2017-04-13,1900.0,10,3616,44.0,0.17,51.0,0.37,1,72.0,3,4330,34.0,0.15,49.0,0.518,1,46.0,4,3736,44.0,0.19,63.0,0.325,1,63.0,3,3578,45.0,0.19,52.0,0.406,1,25.0,3,3684,43.0,0.18,62.0,0.433,1,30.0,4,4643,24.0,0.14,33.0,0.447,1,62.0,4,2
,2017-04-13,19440.0,11,4413,31.0,0.16,58.0,0.578,1,67.0,4,4276,34.0,0.17,65.0,0.589,1,50.0,3,4177,35.0,0.18,75.0,0.306,1,29.0,2,4396,31.0,0.16,39.0,0.23600000000000002,1,40.0,2,3782,41.0,0.16,36.0,0.43,1,20.0,3,4389,32.0,0.16,56.0,0.32,1,68.0,2,83
,2017-04-13,680.0,12,3997,38.0,0.16,43.0,0.563,1,44.0,4,4108,38.0,0.16,57.0,0.619,1,74.0,4,4099,39.0,0.17,24.0,0.55,1,75.0,4,3929,42.0,0.16,74.0,0.348,1,33.0,3,3813,41.0,0.17,21.0,0.445,1,48.0,4,4305,34.0,0.17,73.0,0.48700000000000004,1,53.0,4,1
