,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2018-04-05,1730.0,5,3769,45.0,0.2,63.0,0.377,1,58.0,3,4649,34.0,0.16,29.0,0.345,1,52.0,2,3828,45.0,0.18,19.0,0.48,1,55.0,4,3605,47.0,0.18,45.0,0.32,1,66.0,2,3905,41.0,0.17,58.0,0.326,1,20.0,2,3344,52.0,0.18,18.0,0.226,1,28.0,2,1
,2018-04-05,2480.0,6,4076,40.0,0.21,69.0,0.375,1,49.0,3,4592,38.0,0.14,59.0,0.204,1,18.0,2,3883,45.0,0.16,62.0,0.17800000000000002,1,41.0,2,3296,51.0,0.25,27.0,0.142,1,15.0,1,3643,46.0,0.18,43.0,0.35700000000000004,1,31.0,3,3189,56.0,0.2,11.0,0.13699999999999998,1,75.0,2,8
,2018-04-05,2020.0,7,3893,42.0,0.17,53.0,0.25,1,42.0,2,4356,34.0,0.16,61.0,0.48,1,25.0,4,4269,33.0,0.14,71.0,0.544,1,72.0,4,4880,23.0,0.16,30.0,0.212,1,59.0,2,3305,51.0,0.18,51.0,0.34,1,17.0,2,4053,40.0,0.15,17.0,0.375,1,36.0,3,28
,2018-04-05,2850.0,8,4363,33.0,0.15,35.0,0.34600000000000003,1,73.0,2,4575,30.0,0.16,34.0,0.32299999999999995,1,27.0,2,3748,43.0,0.17,47.0,0.204,1,14.0,2,3653,45.0,0.18,46.0,0.3,1,70.0,3,4319,33.0,0.17,20.0,0.391,1,69.0,3,3467,50.0,0.18,38.0,0.20600000000000002,1,34.0,2,9
,2018-04-05,1200.0,9,4220,37.0,0.17,37.0,0.45299999999999996,1,57.0,3,4259,34.0,0.15,28.0,0.429,1,48.0,4,4856,22.0,0.12,57.0,0.381,1,50.0,3,4121,37.0,0.14,66.0,0.35600000000000004,1,11.0,3,3769,45.0,0.2,63.0,0.377,1,58.0,3,4111,38.0,0.17,14.0,0.365,1,22.0,3,21
,2018-04-05,960.0,10,4356,34.0,0.16,61.0,0.48,1,25.0,4,3605,47.0,0.18,45.0,0.32,1,66.0,2,3933,42.0,0.16,54.0,0.561,1,71.0,4,3773,44.0,0.18,52.0,0.305,1,13.0,2,3953,42.0,0.19,50.0,0.264,1,53.0,2,4035,40.0,0.18,74.0,0.33299999999999996,1,67.0,2,7
,2018-04-05,5520.0,11,4318,34.0,0.16,72.0,0.426,1,46.0,3,4076,40.0,0.21,69.0,0.375,1,49.0,3,3905,41.0,0.17,58.0,0.326,1,20.0,2,3893,42.0,0.17,53.0,0.25,1,42.0,2,4601,33.0,0.15,12.0,0.46299999999999997,1,24.0,4,4039,40.0,0.14,16.0,0.385,1,74.0,2,10
,2018-04-06,1580.0,1,3189,56.0,0.2,11.0,0.13699999999999998,1,75.0,2,3953,42.0,0.19,50.0,0.264,1,53.0,2,4592,38.0,0.14,59.0,0.204,1,18.0,2,3769,45.0,0.2,63.0,0.377,1,58.0,3,4915,22.0,0.17,25.0,0.034,1,40.0,1,4880,23.0,0.16,30.0,0.212,1,59.0,2,65
,2018-04-06,4280.0,2,3344,52.0,0.18,18.0,0.226,1,28.0,2,4111,38.0,0.17,14.0,0.365,1,22.0,3,4053,40.0,0.15,17.0,0.375,1,36.0,3,3947,42.0,0.19,39.0,0.29600000000000004,1,26.0,2,4327,35.0,0.2,49.0,0.254,1,38.0,2,3905,41.0,0.17,58.0,0.326,1,20.0,2,41
,2018-04-06,1580.0,3,3773,44.0,0.18,52.0,0.305,1,13.0,2,3893,42.0,0.17,53.0,0.25,1,42.0,2,3296,51.0,0.25,27.0,0.142,1,15.0,1,4356,34.0,0.16,61.0,0.48,1,25.0,4,3883,45.0,0.16,62.0,0.17800000000000002,1,41.0,2,4220,37.0,0.17,37.0,0.45299999999999996,1,57.0,3,61
,2018-04-06,12590.0,4,4035,40.0,0.18,74.0,0.33299999999999996,1,67.0,2,4318,34.0,0.16,72.0,0.426,1,46.0,3,3605,47.0,0.18,45.0,0.32,1,66.0,2,4363,33.0,0.15,35.0,0.34600000000000003,1,73.0,2,4575,30.0,0.16,34.0,0.32299999999999995,1,27.0,2,3542,50.0,0.18,73.0,0.255,1,44.0,2,47
,2018-04-06,1390.0,5,3467,50.0,0.18,38.0,0.20600000000000002,1,34.0,2,4601,33.0,0.15,12.0,0.46299999999999997,1,24.0,4,4915,22.0,0.17,25.0,0.034,1,40.0,1,4076,40.0,0.21,69.0,0.375,1,49.0,3,5005,22.0,0.15,33.0,0.07,1,39.0,2,4121,37.0,0.14,66.0,0.35600000000000004,1,11.0,3,61
,2018-04-06,690.0,6,4259,34.0,0.15,28.0,0.429,1,48.0,4,3748,43.0,0.17,47.0,0.204,1,14.0,2,4880,23.0,0.16,30.0,0.212,1,59.0,2,4856,22.0,0.12,57.0,0.381,1,50.0,3,3653,45.0,0.18,46.0,0.3,1,70.0,3,3643,46.0,0.18,43.0,0.35700000000000004,1,31.0,3,9
,2018-04-06,3990.0,7,4039,40.0,0.14,16.0,0.385,1,74.0,2,3843,42.0,0.16,67.0,0.365,1,56.0,3,4327,35.0,0.2,49.0,0.254,1,38.0,2,3933,42.0,0.16,54.0,0.561,1,71.0,4,3189,56.0,0.2,11.0,0.13699999999999998,1,75.0,2,3305,51.0,0.18,51.0,0.34,1,17.0,2,12
,2018-04-06,6660.0,8,4122,37.0,0.16,65.0,0.391,1,51.0,3,3883,45.0,0.16,62.0,0.17800000000000002,1,41.0,2,3542,50.0,0.18,73.0,0.255,1,44.0,2,4649,34.0,0.16,29.0,0.345,1,52.0,2,4269,33.0,0.14,71.0,0.544,1,62.0,4,3953,42.0,0.19,50.0,0.264,1,53.0,2,4
,2018-04-06,1380.0,9,4319,33.0,0.17,20.0,0.391,1,69.0,3,3344,52.0,0.18,18.0,0.226,1,28.0,2,3893,42.0,0.17,53.0,0.25,1,42.0,2,4592,38.0,0.14,59.0,0.204,1,18.0,2,4053,40.0,0.15,17.0,0.375,1,36.0,3,5005,22.0,0.15,33.0,0.07,1,39.0,2,6
,2018-04-06,2300.0,10,4124,36.0,0.16,36.0,0.37799999999999995,1,23.0,3,4363,33.0,0.15,35.0,0.34600000000000003,1,73.0,2,4121,37.0,0.14,66.0,0.35600000000000004,1,11.0,3,3905,41.0,0.17,58.0,0.326,1,20.0,2,4375,34.0,0.17,24.0,0.384,1,32.0,2,3653,45.0,0.18,46.0,0.3,1,70.0,3,7
,2018-04-06,2030.0,11,3769,45.0,0.2,63.0,0.377,1,58.0,3,4076,40.0,0.21,69.0,0.375,1,49.0,3,3843,42.0,0.16,67.0,0.365,1,56.0,3,4259,34.0,0.15,28.0,0.429,1,48.0,4,4356,34.0,0.16,61.0,0.48,1,25.0,4,3605,47.0,0.18,45.0,0.32,1,66.0,2,63
,2018-04-06,2470.0,12,3933,42.0,0.16,54.0,0.561,1,71.0,4,4269,33.0,0.14,71.0,0.544,1,62.0,4,4220,37.0,0.17,37.0,0.45299999999999996,1,57.0,3,4319,33.0,0.17,20.0,0.391,1,69.0,3,4318,34.0,0.16,72.0,0.426,1,46.0,3,4601,33.0,0.15,12.0,0.46299999999999997,1,24.0,4,23
,2018-04-07,2290.0,1,3748,43.0,0.17,47.0,0.204,1,14.0,2,3643,46.0,0.18,43.0,0.35700000000000004,1,31.0,3,4035,40.0,0.18,74.0,0.33299999999999996,1,67.0,2,3905,41.0,0.17,58.0,0.326,1,20.0,2,3947,42.0,0.19,39.0,0.29600000000000004,1,26.0,2,4592,38.0,0.14,59.0,0.204,1,18.0,2,6
,2018-04-07,7480.0,2,4111,38.0,0.17,14.0,0.365,1,22.0,3,4601,33.0,0.15,12.0,0.46299999999999997,1,24.0,4,4053,40.0,0.15,17.0,0.375,1,36.0,3,3605,47.0,0.18,45.0,0.32,1,66.0,2,3953,42.0,0.19,50.0,0.264,1,53.0,2,4856,22.0,0.12,57.0,0.381,1,50.0,3,13
,2018-04-07,2410.0,3,4327,35.0,0.2,49.0,0.254,1,38.0,2,3769,45.0,0.2,63.0,0.377,1,58.0,3,3653,45.0,0.18,46.0,0.3,1,70.0,3,3189,56.0,0.2,11.0,0.13699999999999998,1,75.0,2,4122,37.0,0.16,65.0,0.391,1,51.0,3,4259,34.0,0.15,28.0,0.429,1,48.0,4,24
,2018-04-07,3680.0,4,3883,45.0,0.16,62.0,0.17800000000000002,1,41.0,2,4375,34.0,0.17,24.0,0.384,1,32.0,2,3893,42.0,0.17,53.0,0.25,1,42.0,2,3467,50.0,0.18,38.0,0.20600000000000002,1,34.0,2,4076,40.0,0.21,69.0,0.375,1,49.0,3,4318,34.0,0.16,72.0,0.426,1,46.0,3,6
,2018-04-07,4760.0,5,4575,30.0,0.16,34.0,0.32299999999999995,1,27.0,2,4124,36.0,0.16,36.0,0.37799999999999995,1,23.0,3,4269,33.0,0.14,71.0,0.544,1,62.0,4,3773,44.0,0.18,52.0,0.305,1,13.0,2,4880,23.0,0.16,30.0,0.212,1,59.0,2,4356,34.0,0.16,61.0,0.48,1,25.0,4,25
,2018-04-07,740.0,6,4319,33.0,0.17,20.0,0.391,1,69.0,3,3305,51.0,0.18,51.0,0.34,1,17.0,2,3344,52.0,0.18,18.0,0.226,1,28.0,2,4111,38.0,0.17,14.0,0.365,1,22.0,3,4915,22.0,0.17,25.0,0.034,1,68.0,1,3296,51.0,0.25,27.0,0.142,1,15.0,1,1
,2018-04-07,3350.0,7,4220,37.0,0.17,37.0,0.45299999999999996,1,57.0,3,4121,37.0,0.14,66.0,0.35600000000000004,1,11.0,3,4363,33.0,0.15,35.0,0.34600000000000003,1,73.0,2,3643,46.0,0.18,43.0,0.35700000000000004,1,31.0,3,3542,50.0,0.18,73.0,0.255,1,44.0,2,3933,42.0,0.16,54.0,0.561,1,71.0,4,16
,2018-04-07,4900.0,8,4039,40.0,0.14,16.0,0.385,1,74.0,2,3947,42.0,0.19,39.0,0.29600000000000004,1,26.0,2,3883,45.0,0.16,62.0,0.17800000000000002,1,41.0,2,4649,34.0,0.16,29.0,0.345,1,52.0,2,3843,42.0,0.16,67.0,0.365,1,56.0,3,5005,22.0,0.15,33.0,0.07,1,39.0,2,22
,2018-04-07,3250.0,10,4259,34.0,0.15,28.0,0.429,1,48.0,4,4076,40.0,0.21,69.0,0.375,1,49.0,3,4319,33.0,0.17,20.0,0.391,1,69.0,3,4601,33.0,0.15,12.0,0.46299999999999997,1,24.0,4,4124,36.0,0.16,36.0,0.37799999999999995,1,23.0,3,4220,37.0,0.17,37.0,0.45299999999999996,1,57.0,3,4
,2018-04-07,830.0,11,4356,34.0,0.16,61.0,0.48,1,25.0,4,3953,42.0,0.19,50.0,0.264,1,53.0,2,3933,42.0,0.16,54.0,0.561,1,71.0,4,3893,42.0,0.17,53.0,0.25,1,42.0,2,3769,45.0,0.2,63.0,0.377,1,58.0,3,4039,40.0,0.14,16.0,0.385,1,74.0,2,6
,2018-04-07,30420.0,12,4053,40.0,0.15,17.0,0.375,1,36.0,3,3773,44.0,0.18,52.0,0.305,1,13.0,2,3467,50.0,0.18,38.0,0.20600000000000002,1,34.0,2,4327,35.0,0.2,49.0,0.254,1,38.0,2,4363,33.0,0.15,35.0,0.34600000000000003,1,73.0,2,4649,34.0,0.16,29.0,0.345,1,52.0,2,37
,2018-04-08,24670.0,1,4592,38.0,0.14,59.0,0.204,1,18.0,2,3305,51.0,0.18,51.0,0.34,1,17.0,2,4915,22.0,0.17,25.0,0.034,1,68.0,1,4121,37.0,0.14,66.0,0.35600000000000004,1,11.0,3,3189,56.0,0.2,11.0,0.13699999999999998,1,75.0,2,4035,40.0,0.18,74.0,0.33299999999999996,1,67.0,2,81
,2018-04-08,20960.0,2,4856,22.0,0.12,57.0,0.381,1,50.0,3,3653,45.0,0.18,46.0,0.3,1,70.0,3,4111,38.0,0.17,14.0,0.365,1,22.0,3,3947,42.0,0.19,39.0,0.29600000000000004,1,26.0,2,3773,44.0,0.18,52.0,0.305,1,13.0,2,3883,45.0,0.16,62.0,0.17800000000000002,1,41.0,2,96
