,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,630.0,1,4347,58.0,47.0,4282,34.0,51.0,4338,59.0,26.0,4300,38.0,22.0,4525,21.0,36.0,4783,62.0,14.0,11
,1540.0,2,4501,53.0,52.0,4317,25.0,29.0,4183,40.0,27.0,4611,20.0,42.0,4313,16.0,13.0,4224,50.0,62.0,1
,710.0,3,4556,60.0,45.0,4240,63.0,34.0,4464,51.0,59.0,4017,22.0,32.0,4170,61.0,23.0,4806,55.0,61.0,2
,3090.0,4,4399,28.0,55.0,4014,68.0,69.0,4569,70.0,39.0,4385,31.0,63.0,4823,19.0,57.0,4510,57.0,43.0,21
,2150.0,5,4338,59.0,26.0,4443,36.0,71.0,4534,69.0,11.0,4450,44.0,58.0,4758,18.0,74.0,4065,29.0,16.0,29
,1420.0,6,4484,48.0,48.0,4289,54.0,73.0,4313,16.0,13.0,4347,58.0,47.0,4530,37.0,46.0,4841,67.0,68.0,67
,2180.0,7,4243,35.0,75.0,4642,66.0,19.0,4011,52.0,35.0,4556,60.0,45.0,4783,62.0,14.0,4611,20.0,42.0,62
,680.0,8,4014,68.0,69.0,4244,42.0,64.0,4170,61.0,23.0,4456,27.0,28.0,4224,50.0,62.0,4781,39.0,56.0,61
,670.0,10,4443,36.0,71.0,4464,51.0,59.0,4484,48.0,48.0,4501,53.0,52.0,4678,43.0,41.0,4823,19.0,57.0,2
,4210.0,11,4317,25.0,29.0,4385,31.0,63.0,4240,63.0,34.0,4289,54.0,73.0,4773,30.0,21.0,4450,44.0,58.0,115
,3420.0,12,4456,27.0,28.0,4011,52.0,35.0,4017,22.0,32.0,4399,28.0,55.0,4065,29.0,16.0,4530,37.0,46.0,16
,670.0,1,4017,22.0,32.0,4569,70.0,39.0,4642,66.0,19.0,4246,64.0,17.0,4534,69.0,11.0,4773,30.0,21.0,6
,3770.0,2,4011,52.0,35.0,4464,51.0,59.0,4289,54.0,73.0,4443,36.0,71.0,4456,27.0,28.0,4240,63.0,34.0,1
,580.0,3,4183,40.0,27.0,4525,21.0,36.0,4244,42.0,64.0,4065,29.0,16.0,4317,25.0,29.0,4783,62.0,14.0,10
,1340.0,5,4678,43.0,41.0,4045,46.0,72.0,4399,28.0,55.0,4841,67.0,68.0,4246,64.0,17.0,4556,60.0,45.0,28
,4050.0,6,4569,70.0,39.0,4450,44.0,58.0,4300,38.0,22.0,4011,52.0,35.0,4243,35.0,75.0,4781,39.0,56.0,33
,8970.0,7,4170,61.0,23.0,4017,22.0,32.0,4525,21.0,36.0,4758,18.0,74.0,4501,53.0,52.0,4289,54.0,73.0,90
